tvc.moment.x [Nm],tvc.moment.y [Nm],tvc.moment.z [Nm],tvc.phi [rad],tvc.pos_joint.x [m],tvc.pos_joint.y [m],tvc.pos_joint.z [m],tvc.theta [rad],tvc.thrust.x [N],tvc.thrust.y [N],tvc.thrust.z [N],tvc.total_thrust [N],angle [rad]
0,-0,0,0,0,0,-1,0,0,0,1,1,0.01
0.009999833334166664,-0,0,0.01,0,0,-1,0,0,0.009999833334166664,0.9999500004166653,1,0.02
0.01999866669333308,-0,0,0.02,0,0,-1,0,0,0.01999866669333308,0.9998000066665778,1,0.03
0.02999550020249566,-0,0,0.03,0,0,-1,0,0,0.02999550020249566,0.9995500337489875,1,0.04
0.03998933418663416,-0,0,0.04,0,0,-1,0,0,0.03998933418663416,0.9992001066609779,1,0.05
0.04997916927067833,-0,0,0.05,0,0,-1,0,0,0.04997916927067833,0.9987502603949663,1,0.060000000000000005
0.0599640064794446,-0,0,0.060000000000000005,0,0,-1,0,0,0.0599640064794446,0.9982005399352042,1,0.07
0.06994284733753277,-0,0,0.07,0,0,-1,0,0,0.06994284733753277,0.9975510002532796,1,0.08
0.0799146939691727,-0,0,0.08,0,0,-1,0,0,0.0799146939691727,0.9968017063026194,1,0.09
0.08987854919801104,-0,0,0.09,0,0,-1,0,0,0.08987854919801104,0.9959527330119943,1,0.09999999999999999
0.09983341664682814,-0,0,0.09999999999999999,0,0,-1,0,0,0.09983341664682814,0.9950041652780258,1,0.10999999999999999
0.1097783008371748,-0,0,0.10999999999999999,0,0,-1,0,0,0.1097783008371748,0.9939560979566968,1,0.11999999999999998
0.11971220728891935,-0,0,0.11999999999999998,0,0,-1,0,0,0.11971220728891935,0.9928086358538663,1,0.12999999999999998
0.12963414261969483,-0,0,0.12999999999999998,0,0,-1,0,0,0.12963414261969483,0.9915618937147881,1,0.13999999999999999
0.13954311464423647,-0,0,0.13999999999999999,0,0,-1,0,0,0.13954311464423647,0.9902159962126372,1,0.15
0.14943813247359922,-0,0,0.15,0,0,-1,0,0,0.14943813247359922,0.9887710779360422,1,0.16
0.15931820661424598,-0,0,0.16,0,0,-1,0,0,0.15931820661424598,0.9872272833756269,1,0.17
0.16918234906699603,-0,0,0.17,0,0,-1,0,0,0.16918234906699603,0.9855847669095608,1,0.18000000000000002
0.1790295734258242,-0,0,0.18000000000000002,0,0,-1,0,0,0.1790295734258242,0.9838436927881214,1,0.19000000000000003
0.1888588949765006,-0,0,0.19000000000000003,0,0,-1,0,0,0.1888588949765006,0.9820042351172703,1,0.20000000000000004
0.19866933079506124,-0,0,0.20000000000000004,0,0,-1,0,0,0.19866933079506124,0.9800665778412416,1,0.21000000000000005
0.2084598998460996,-0,0,0.21000000000000005,0,0,-1,0,0,0.2084598998460996,0.9780309147241483,1,0.22000000000000006
0.21822962308086938,-0,0,0.22000000000000006,0,0,-1,0,0,0.21822962308086938,0.9758974493306055,1,0.23000000000000007
0.22797752353518846,-0,0,0.23000000000000007,0,0,-1,0,0,0.22797752353518846,0.9736663950053748,1,0.24000000000000007
0.23770262642713466,-0,0,0.24000000000000007,0,0,-1,0,0,0.23770262642713466,0.9713379748520296,1,0.25000000000000006
0.247403959254523,-0,0,0.25000000000000006,0,0,-1,0,0,0.247403959254523,0.9689124217106447,1,0.26000000000000006
0.2570805518921552,-0,0,0.26000000000000006,0,0,-1,0,0,0.2570805518921552,0.9663899781345132,1,0.2700000000000001
0.2667314366888312,-0,0,0.2700000000000001,0,0,-1,0,0,0.2667314366888312,0.9637708963658905,1,0.2800000000000001
0.2763556485641138,-0,0,0.2800000000000001,0,0,-1,0,0,0.2763556485641138,0.9610554383107709,1,0.2900000000000001
0.28595222510483564,-0,0,0.2900000000000001,0,0,-1,0,0,0.28595222510483564,0.9582438755126972,1,0.3000000000000001
0.29552020666133966,-0,0,0.3000000000000001,0,0,-1,0,0,0.29552020666133966,0.955336489125606,1,0.3100000000000001
0.3050586364434436,-0,0,0.3100000000000001,0,0,-1,0,0,0.3050586364434436,0.9523335698857134,1,0.3200000000000001
0.3145665606161179,-0,0,0.3200000000000001,0,0,-1,0,0,0.3145665606161179,0.9492354180824408,1,0.3300000000000001
0.3240430283948685,-0,0,0.3300000000000001,0,0,-1,0,0,0.3240430283948685,0.9460423435283869,1,0.34000000000000014
0.3334870921408145,-0,0,0.34000000000000014,0,0,-1,0,0,0.3334870921408145,0.9427546655283462,1,0.35000000000000014
0.3428978074554515,-0,0,0.35000000000000014,0,0,-1,0,0,0.3428978074554515,0.9393727128473789,1,0.36000000000000015
0.3522742332750901,-0,0,0.36000000000000015,0,0,-1,0,0,0.3522742332750901,0.9358968236779348,1,0.37000000000000016
0.36161543196496215,-0,0,0.37000000000000016,0,0,-1,0,0,0.36161543196496215,0.9323273456060344,1,0.38000000000000017
0.37092046941298285,-0,0,0.38000000000000017,0,0,-1,0,0,0.37092046941298285,0.9286646355765101,1,0.3900000000000002
0.3801884151231616,-0,0,0.3900000000000002,0,0,-1,0,0,0.3801884151231616,0.924909059857313,1,0.4000000000000002
0.3894183423086507,-0,0,0.4000000000000002,0,0,-1,0,0,0.3894183423086507,0.921060994002885,1,0.4100000000000002
0.39860932798442306,-0,0,0.4100000000000002,0,0,-1,0,0,0.39860932798442306,0.917120822816605,1,0.4200000000000002
0.40776045305957037,-0,0,0.4200000000000002,0,0,-1,0,0,0.40776045305957037,0.9130889403123081,1,0.4300000000000002
0.416870802429211,-0,0,0.4300000000000002,0,0,-1,0,0,0.416870802429211,0.9089657496748851,1,0.4400000000000002
